-0.301425	0.112755	0.200551	
-0.279763	0.105608	0.211668	
-0.224362	0.079372	0.207630	
-0.149411	0.032866	0.153915	
-0.070532	-0.022940	0.055741	
0.012187	-0.052964	-0.048652	
0.112365	-0.036654	-0.129310	
0.220757	0.007744	-0.174328	
0.330046	0.053861	-0.204031	
0.439931	0.089597	-0.226311	
0.550224	0.097419	-0.268553	
0.658869	0.049555	-0.347092	
0.755060	-0.080587	-0.416184	
0.824160	-0.231214	-0.435478	
0.850756	-0.308770	-0.425294	
0.826334	-0.291979	-0.417596	
0.746546	-0.214625	-0.405916	
0.620433	-0.118329	-0.400833	
0.475301	-0.023286	-0.383566	
0.331250	0.053691	-0.330574	
0.189965	0.094371	-0.264532	
0.048633	0.095148	-0.209440	
-0.086692	0.081599	-0.163071	
-0.214661	0.074360	-0.095617	
-0.339537	0.085107	-0.003025	
-0.458384	0.111226	0.087737	
-0.559000	0.131536	0.140708	
-0.630277	0.125219	0.159256	
-0.667009	0.083006	0.175936	
-0.670921	0.026721	0.207719	
